,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Index,CPU Cores,Batch Size,start time,end time,Average Latency (ms),99th Percentile (ms),95th Percentile (ms),Number of Queries,Average CPU Utilization (%),Runtime (s),Average CPU Power (W),Average DRAM Power (W),Total CPU Energy (Joules),Total CPU Idle Energy (Joules),Total CPU Dynamic Energy (Joules),Total DRAM Energy (Joules),Total DRAM Idle Energy (Joules),Total DRAM Dynamic Energy (Joules),Total Energy (Joules),Total Idle Energy (Joules),Total Dynamic Energy (Joules),CPU Energy per Query (Joules),CPU Idle Energy per Query (Joules) Unscaled,CPU Dynamic Energy per Query (Joules),DRAM Energy per Query (Joules),DRAM Idle Energy per Query (Joules) Unscaled,DRAM Dynamic Energy per Query (Joules),Total Energy per Query (Joules),Total Idle Energy per Query (Joules) Unscaled,Total Dynamic Energy per Query (Joules),Throughput (queries/s),CPU-Seconds Per Query,Memory Footprint (GB),Memory Usage per Query (GB-second),CPU Idle Energy per Query (Joules),DRAM Idle Energy per Query (Joules),Total Idle Energy per Query (Joules),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GB-s),CPU Operational Carbon per Query (gCO2eq),Memory Operational Carbon per Query (gCO2eq),Total Operational Carbon per Query (gCO2eq),CPU Embodied Carbon per Query (gCO2eq),Memory Embodied Carbon per Query (gCO2eq),Total Embodied Carbon per Query (gCO2eq),Total Carbon Footprint per Query (gCO2eq),Grid CI (gCO2eq/kWh),pareto
71,71,71,71,hnsw,72,1024,2024-10-25 06:22:03.665171,2024-10-25 06:40:49.773656,11979.811670212765,12357.68243,12330.88625,96256,4318.513012906098,1126.108485,236.3328698300324,15.78024696261835,266136.45,39976.607227328255,226159.8427726717,17770.27,3165.2844981127496,14604.985501887251,283906.72000000003,43141.891725441004,240764.828274559,2.661052798715591,0.4153154839940186,2.3495661857200774,0.1823881509942959,0.0328840227945556,0.151730650576455,2.843440949709887,0.4481995067885743,2.501296836296532,85.47666701934139,0.84233513671875,179.0,2.094138742675781,0.3114866129955139,0.0306575004178409,0.3421441134133548,1.81891991163538e-05,1.2463145624577203e-05,0.0002727579118683,1.869478547691533e-05,0.0002914526973452,1.5321401524478445e-05,2.6099556108037263e-05,4.142095763251571e-05,0.0003328736549777,369,True
84,84,84,84,hnsw,88,128,2024-10-24 23:23:41.576477,2024-10-24 23:37:59.040829,1714.857398,1840.93639,1811.54325,64000,4529.402064531214,857.464352,227.061591010608,17.054015092163272,194697.22,30439.798712057072,164257.42128794294,14623.21,2410.175091674133,12213.034908325866,209320.43,32849.973803731205,176470.45619626882,3.0025089079270093,0.4756218548758917,2.5665222076241085,0.2259378290859566,0.0376589858074083,0.1908286704425916,3.228446737012966,0.5132808406833,2.7573508780667004,74.6386713928371,1.1790134840000002,179.0,2.3982206095,0.4359867003029007,0.035109158643365,0.4710958589462658,1.81891991163538e-05,1.2463145624577203e-05,0.0003077571630625,2.315862748131055e-05,0.0003309157905438,2.144531102134201e-05,2.98893726960608e-05,5.133468371740281e-05,0.0003822504742612,369,True
85,85,85,85,hnsw,88,256,2024-10-24 23:44:05.164677,2024-10-25 00:05:05.545179,3352.0051276595746,3626.86075,3572.1155,96256,4565.25706116281,1260.380502,229.9406643788274,17.028579834377666,289812.73,44743.23473855791,245069.4952614421,21462.49,3542.6985213633,17919.7914786367,311275.22,48285.93325992121,262989.2867400788,2.972117344426531,0.4648357997273719,2.546017861343107,0.2204810067696146,0.0368049630294558,0.1861680464452782,3.1925983511961458,0.5016407627568277,2.7321859077883848,76.37058796709313,1.1522760573470745,179.0,2.3438342530128,0.4260994830834242,0.0343129603243364,0.4604124434077606,1.81891991163538e-05,1.2463145624577203e-05,0.0003046420278037,2.2599303193885497e-05,0.0003272413309976,2.0958978644093045e-05,2.9211547615170653e-05,5.0170526259263695e-05,0.0003774118572568,369,True
137,137,137,137,ivf,48,16,2024-10-20 09:53:04.943255,2024-10-20 09:56:15.499563,381.057814,458.0947999999999,423.9754499999999,8000,3770.4732264844974,190.556308,250.28811956201417,21.334796222017484,47693.98,6764.707646799935,40929.27235320006,4065.48,535.6188464648666,3529.8611535351333,51759.46,7300.326493264802,44459.13350673519,5.538953272075004,0.8455884558499919,5.116159044150008,0.4666884878064328,0.0669523558081083,0.4412326441918917,6.005641759881437,0.9125408116581002,5.557391688341899,41.98234151345963,1.143337848,73.0,1.7388263105,0.4227942279249959,0.0254558436145411,0.4482500715395371,1.81891991163538e-05,1.2463145624577203e-05,0.0005677427103876,4.783557000015936e-05,0.0006155782803878,2.0796399774535452e-05,2.1671245523607795e-05,4.246764529814325e-05,0.0006580459256859,369,True
138,138,138,138,ivf,48,32,2024-10-20 09:57:00.618165,2024-10-20 10:00:53.424291,465.5582020000001,581.67117,506.9802,16000,4183.922792598967,232.806126,301.31801600444135,26.639977678250613,70148.68,8264.567031672701,61884.11296832729,6201.95,654.3753390628999,5547.5746609371,76350.62999999999,8918.9423707356,67431.68762926439,4.126024780260228,0.5165354394795438,3.867757060520456,0.3622733511235399,0.0408984586914312,0.3467234163085687,4.488298131383768,0.557433898170975,4.214480476829024,68.72671383226401,0.6984183780000001,73.0,1.062177949875,0.2582677197397719,0.0155499348149712,0.2738176545547431,1.81891991163538e-05,1.2463145624577203e-05,0.0004229175399766,3.713301849016284e-05,0.0004600505584668,1.2703670943962854e-05,1.3238078468506989e-05,2.5941749412469843e-05,0.0004859923078793,369,True
169,169,169,169,ivf,80,16,2024-10-19 22:40:04.084424,2024-10-19 22:42:35.445831,302.67263800000006,381.01597999999984,343.45245,8000,5088.312991396426,151.361407,304.3310108765043,25.51423164294449,46063.97,5373.297153528485,40690.67284647151,3861.87,425.4491654857167,3436.420834514284,49925.84,5798.746319014202,44127.0936809858,5.64605255930149,0.6716621441910606,5.086334105808939,0.4497725190802081,0.0531811456857145,0.4295526043142854,6.095825078381698,0.7248432898767752,5.515886710123224,52.85363130906942,1.51361407,73.0,1.381172838875,0.5597184534925504,0.0202199147659227,0.5799383682584731,1.81891991163538e-05,1.2463145624577203e-05,0.0005787203873284,4.610168320572133e-05,0.0006248220705341,2.753142770454468e-05,1.721375822360983e-05,4.474518592815451e-05,0.0006695672564622,369,True
170,170,170,170,ivf,80,32,2024-10-19 22:43:13.608218,2024-10-19 22:46:36.566156,405.853774,545.2684099999996,455.7977,16000,5189.918035538006,202.957938,328.3264042621481,30.877530890168977,66636.45,7204.962824780102,59431.487175219896,6266.84,570.4775547626999,5696.362445237301,72903.29,7775.440379542802,65127.8496204572,4.08972642890854,0.4503101765487564,3.7144679484512433,0.3695789228461064,0.0356548471726687,0.3560226528273313,4.459305351754647,0.4859650237214251,4.070490601278575,78.83406856449241,1.01478969,73.0,0.925995592125,0.375258480457297,0.013556270018775,0.388814750476072,1.81891991163538e-05,1.2463145624577203e-05,0.0004191969589631,3.78818395917259e-05,0.0004570787985548,1.8458211732632944e-05,1.1540817912370471e-05,2.9999029645003414e-05,0.0004870778281998,369,True
171,171,171,171,ivf,80,64,2024-10-19 22:47:45.480882,2024-10-19 22:53:47.139078,723.251032,789.80518,766.0035,32000,6685.961953991131,361.658196,328.93207264684804,33.43621168756812,118960.98,12838.787598724202,106122.1924012758,12092.48,1016.5548849533998,11075.9251150466,131053.46,13855.342483677605,117198.1175163224,3.650661939589978,0.4012121124601313,3.3163185125398686,0.3582008672998935,0.0317673401547937,0.3461226598452063,4.008862806889872,0.4329794526149251,3.662441172385075,88.48133501169154,0.90414549,73.0,0.8250327596249999,0.3343434270501094,0.0120782074546871,0.3464216345047965,1.81891991163538e-05,1.2463145624577203e-05,0.0003741928488079,3.671558889823908e-05,0.0004109084377062,1.6445682347763273e-05,1.0282503428253172e-05,2.672818577601645e-05,0.0004376366234822,369,True
179,179,179,179,ivf,88,64,2024-10-24 20:25:00.213621,2024-10-24 20:30:58.752341,717.0241139999999,783.29543,763.6356,32000,7029.894738607772,358.53872,329.0110200650016,33.639323529687395,117963.19,12728.04687661067,105235.14312338934,12061.0,1007.7866098213332,11053.213390178667,130024.19,13735.833486432002,116288.356513568,3.65320373209216,0.3977514648940834,3.2885982226059167,0.3573869455454526,0.0314933315569166,0.3454129184430833,4.010590677637612,0.429244796451,3.634011141049,89.25116930188182,0.98598148,73.0,0.817916455,0.3646055094862431,0.0119740271023693,0.3765795365886124,1.81891991163538e-05,1.2463145624577203e-05,0.0003744533825394,3.663216191840889e-05,0.0004110855444578,1.793421346475721e-05,1.0193811887402946e-05,2.812802535216016e-05,0.00043921356981,369,True
186,186,186,186,ivf,96,32,2024-10-28 03:42:11.517480,2024-10-28 03:45:32.953012,402.813082,472.43177,439.57515,16000,6087.328960716061,201.435532,329.03003428412023,31.184220269540138,66278.34,7150.917741634735,59127.42225836526,6281.610000000001,566.1983506044666,5715.411649395534,72559.95,7717.116092239201,64842.8339077608,4.142396249999999,0.4469323588521709,3.6954638911478286,0.3706678112884338,0.0353873969127791,0.3572132280872209,4.513064061288433,0.48231975576495,4.0526771192350495,79.42987933231164,1.208613192,73.0,0.91904961475,0.4469323588521709,0.0134545832012128,0.4603869420533838,1.81891991163538e-05,1.2463145624577203e-05,0.0004245956156249,3.799345065706446e-05,0.000462589066282,2.1983706003939944e-05,1.1454249184840828e-05,3.343795518878077e-05,0.0004960270214708,369,True
188,188,188,188,ivf,96,128,2024-10-28 03:54:49.021358,2024-10-28 04:06:00.016381,1341.925662,1427.7986999999998,1401.7729,64000,8261.85782673861,670.995023,329.0394897608652,34.2937118924055,220783.86,23820.17793424502,196963.68206575493,23010.91,1886.043993898783,21124.866006101216,243794.77,25706.221928143805,218088.54807185617,3.4497478125,0.3721902802225784,3.0775575322774213,0.3412805570252314,0.0294694374046684,0.3300760313453315,3.791028369525231,0.4016597176272469,3.4076335636227526,95.38073727262208,1.0064925345,73.0,0.7653536981093749,0.3721902802225784,0.0112045256798999,0.3833948059024784,1.81891991163538e-05,1.2463145624577203e-05,0.0003535991507812,3.498125709508622e-05,0.0003885804078763,1.8307293119144096e-05,9.538714593845838e-06,2.784600771298993e-05,0.0004164264155893,369,True
